,id,full_name,first_name,last_name,is_active
2631,1631254,Kenneth Lofton Jr.,Kenneth,Lofton Jr.,True
2632,77403,Johnny Logan,Johnny,Logan,False
2633,38,Brad Lohaus,Brad,Lohaus,False
2634,1609,Art Long,Art,Long,False
2635,3,Grant Long,Grant,Long,False
2636,1381,John Long,John,Long,False
2637,77406,Paul Long,Paul,Long,False
2638,1627848,Shawn Long,Shawn,Long,False
2639,26,Luc Longley,Luc,Longley,False
2640,1626172,Kevon Looney,Kevon,Looney,True
2641,201572,Brook Lopez,Brook,Lopez,True
2642,1732,Felipe Lopez,Felipe,Lopez,False
2643,2221,Raul Lopez,Raul,Lopez,False
2644,201577,Robin Lopez,Robin,Lopez,True
2645,943,Ryan Lorthridge,Ryan,Lorthridge,False
2646,77409,Jim Loscutoff,Jim,Loscutoff,False
2647,77410,Plummer Lott,Plummer,Lott,False
2648,77411,Kevin Loughery,Kevin,Loughery,False
2649,1629712,Didi Louzada,Didi,Louzada,False
2650,77412,Bob Love,Bob,Love,False
2651,201567,Kevin Love,Kevin,Love,True
2652,77413,Stan Love,Stan,Love,False
2653,77414,Clyde Lovellette,Clyde,Lovellette,False
2654,77415,Sidney Lowe,Sidney,Lowe,False
2655,77416,Chuck Lowery,Chuck,Lowery,False
2656,200768,Kyle Lowry,Kyle,Lowry,True
2657,1628070,Jordan Loyd,Jordan,Loyd,False
2658,77417,Al Lucas,Al,Lucas,False
2659,77418,Jerry Lucas,Jerry,Lucas,False
2660,77419,John Lucas,John,Lucas,False
2661,203564,Kalin Lucas,Kalin,Lucas,False
2662,77420,Maurice Lucas,Maurice,Lucas,False
2663,101249,John Lucas III,John,Lucas III,False
2664,77421,Ted Luckenbill,Ted,Luckenbill,False
2665,1731,Tyronn Lue,Tyronn,Lue,False
2666,77422,Jim Luisi,Jim,Luisi,False
2667,77423,Al Lujack,Al,Lujack,False
2668,77424,Phil Lumpkin,Phil,Lumpkin,False
2669,77425,Ray Lumpp,Ray,Lumpp,False
2670,1630994,Gabriel Lundberg,Gabriel,Lundberg,False
2671,1641754,Seth Lundy,Seth,Lundy,True
2672,1627789,Timothe Luwawu-Cabarrot,Timothe,Luwawu-Cabarrot,False
2673,1628399,Tyler Lydon,Tyler,Lydon,False
2674,1626168,Trey Lyles,Trey,Lyles,True
2675,248,George Lynch,George,Lynch,False
2676,77426,Kevin Lynch,Kevin,Lynch,False
2677,77427,Mike Lynn,Mike,Lynn,False
2678,1627815,Sheldon Mac,Sheldon,Mac,False
2679,1928,Todd MacCulloch,Todd,MacCulloch,False
2680,77430,Ronnie MacGilvray,Ronnie,MacGilvray,False
2681,931,Don MacLean,Don,MacLean,False
2682,77428,Mike Macaluso,Mike,Macaluso,False
2683,77429,Ed Macauley,Ed,Macauley,False
2684,203159,Scott Machado,Scott,Machado,False
2685,101178,Arvydas Macijauskas,Arvydas,Macijauskas,False
2686,77432,Ollie Mack,Ollie,Mack,False
2687,694,Sam Mack,Sam,Mack,False
2688,202714,Shelvin Mack,Shelvin,Mack,False
2689,1635,Malcolm Mackey,Malcolm,Mackey,False
2690,77435,Rudy Macklin,Rudy,Macklin,False
2691,202731,Vernon Macklin,Vernon,Macklin,False
2692,77436,Johnny Macknowski,Johnny,Macknowski,False
2693,1629133,Daryl Macon,Daryl,Macon,False
2694,1855,Mark Macon,Mark,Macon,False
2695,1629122,J.P. Macura,J.P.,Macura,False
2696,77438,Kyle Macy,Kyle,Macy,False
2697,77439,Jack Maddox,Jack,Maddox,False
2698,2432,Tito Maddox,Tito,Maddox,False
2699,1666,Gerald Madkins,Gerald,Madkins,False
2700,2058,Mark Madsen,Mark,Madsen,False
2701,77441,Norm Mager,Norm,Mager,False
2702,203705,Josh Magette,Josh,Magette,False
2703,1894,Corey Maggette,Corey,Maggette,False
2704,77442,Dave Magley,Dave,Magley,False
2705,2048,Jamaal Magloire,Jamaal,Magloire,False
2706,1630266,Will Magnay,Will,Magnay,False
2707,101133,Ian Mahinmi,Ian,Mahinmi,False
2708,77443,John Mahnken,John,Mahnken,False
2709,77444,Francis Mahoney,Francis,Mahoney,False
2710,328,Rick Mahorn,Rick,Mahorn,False
2711,105,Dan Majerle,Dan,Majerle,False
2712,200970,Renaldo Major,Renaldo,Major,False
2713,1630588,Makur Maker,Makur,Maker,True
2714,1627748,Thon Maker,Thon,Maker,False
2715,77447,Lionel Malamed,Lionel,Malamed,False
2716,1630177,Theo Maledon,Theo,Maledon,True
2717,117,Jeff Malone,Jeff,Malone,False
2718,252,Karl Malone,Karl,Malone,False
2719,77449,Moses Malone,Moses,Malone,False
2720,1074,Matt Maloney,Matt,Maloney,False
2721,77450,Steve Malovic,Steve,Malovic,False
2722,1630572,Sandro Mamukelashvili,Sandro,Mamukelashvili,True
2723,77451,Ted Manakas,Ted,Manakas,False
2724,77452,John Mandic,John,Mandic,False
2725,1630211,Karim Mane,Karim,Mane,False
2726,77453,Frank Mangiapane,Frank,Mangiapane,False
2727,986,Marcus Mann,Marcus,Mann,False
2728,1629611,Terance Mann,Terance,Mann,True
2729,1630544,Tre Mann,Tre,Mann,True
2730,330,Danny Manning,Danny,Manning,False
2731,77454,Ed Manning,Ed,Manning,False
2732,316,Richard Manning,Richard,Manning,False
2733,1630185,Nico Mannion,Nico,Mannion,False
2734,77456,Pace Mannion,Pace,Mannion,False
2735,77457,Nick Mantis,Nick,Mantis,False
